ID,¿Qué edad tienes?,¿Comparas precios al momento de realizar una compra?,¿Cuántas opciones revisas?,¿Realizas compras por internet y-o plataformas digitales?,Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia,¿ A través de que dispositivos realizas las compras por internet?,P1,P2,P3,P4
7,45,1,2,1,2,3,1,2,3,4
8,27,1,2,1,2,1,1,2,3,4
23,27,1,2,1,2,1,1,2,3,4
25,23,1,2,1,2,1,1,2,3,4
38,27,1,2,1,2,1,1,2,3,4
52,50,1,2,1,2,1,1,2,3,4
58,22,1,3,1,2,3,1,2,3,4
63,49,1,2,1,2,1,1,2,3,4
64,49,1,2,1,2,1,1,2,3,4
67,36,1,2,1,2,3,1,2,3,4
74,35,1,2,1,2,1,1,2,3,4
80,28,1,2,1,2,1,1,2,3,4
83,25,1,2,1,2,1,1,2,3,4
87,20,0,4,1,2,1,1,2,3,4
89,27,1,1,1,2,1,1,3,4,2
95,20,1,2,1,2,1,1,3,4,2
97,68,1,2,1,2,1,1,2,3,4
102,23,1,2,1,2,3,1,2,3,4
84,26,1,2,0,2,1,1,2,3,4
1,24,1,3,1,1,1,1,2,3,4
2,26,1,2,1,1,1,1,3,4,2
11,27,1,2,1,1,1,1,2,3,4
39,31,0,4,1,1,1,1,2,3,4
41,32,1,2,1,1,3,1,2,3,4
54,26,1,2,1,1,1,1,2,3,4
62,45,1,2,1,1,1,1,2,3,4
73,25,1,3,1,1,3,1,2,3,4
82,36,1,2,1,1,1,1,2,3,4
88,23,1,2,1,1,1,1,2,3,4
100,28,1,3,1,1,1,1,2,3,4
101,47,1,2,1,1,3,1,2,3,4
103,17,1,2,1,1,3,1,3,4,2
22,26,1,2,1,3,1,1,2,3,4
32,25,1,2,1,3,1,1,2,3,4
34,46,1,2,1,3,1,1,2,3,4
40,20,1,2,1,3,1,1,2,3,4
45,21,1,2,1,3,1,1,2,3,4
46,32,1,2,1,3,1,1,2,3,4
47,29,1,2,1,3,3,1,2,3,4
53,24,1,2,1,3,1,1,2,3,4
68,53,1,2,1,3,1,1,3,4,2
17,24,1,2,0,3,1,1,3,4,2
76,28,1,2,1,3,3,1,2,3,4
78,27,1,2,1,3,1,1,2,3,4
86,30,1,2,1,3,1,1,2,3,4
90,26,1,2,1,3,1,1,2,3,4
91,25,1,4,1,3,1,1,2,3,4
92,22,1,2,1,3,1,1,2,3,4
94,25,1,2,1,3,3,1,2,3,4
5,40,1,2,1,2,1,3,4,2,1
10,29,1,2,1,2,1,3,4,1,2
104,44,1,3,1,2,1,3,4,2,1
105,29,1,1,1,1,3,3,4,1,2
48,21,1,2,1,3,1,3,4,2,1
65,25,1,2,1,3,1,3,4,1,2
85,27,1,2,1,3,3,3,4,1,2
93,24,1,2,1,3,1,3,4,1,2
3,27,1,2,1,2,1,2,1,3,4
29,45,1,2,1,2,1,2,1,3,4
31,47,1,3,1,2,1,2,1,3,4
35,47,1,3,1,2,1,2,1,3,4
36,22,1,2,1,2,3,2,1,3,4
37,47,1,3,1,2,1,2,1,3,4
55,46,1,2,1,2,1,2,1,3,4
59,23,1,1,1,2,3,2,1,3,4
61,21,1,2,1,2,3,2,1,3,4
69,43,1,2,0,2,3,2,1,3,4
72,33,1,2,1,2,3,2,1,3,4
77,25,1,3,1,2,1,2,3,4,1
81,31,1,2,1,2,3,2,1,3,4
4,22,1,2,1,1,1,2,1,3,4
6,26,1,2,1,1,1,2,1,3,4
13,20,1,2,1,1,1,2,1,3,4
16,25,1,3,1,1,1,2,1,3,4
18,28,1,2,1,1,3,2,1,3,4
24,28,1,3,1,1,3,2,1,3,4
26,24,1,2,1,1,3,2,1,3,4
27,50,1,2,1,1,3,2,1,3,4
33,29,1,2,1,1,1,2,3,4,1
42,26,1,4,1,1,3,2,1,3,4
51,33,1,2,1,1,1,2,1,3,4
56,31,1,2,1,1,1,2,1,3,4
60,27,1,2,1,1,3,2,1,3,4
70,26,1,2,1,1,1,2,1,3,4
71,51,1,2,1,1,1,2,3,4,1
9,26,1,2,1,3,3,2,1,3,4
28,22,1,2,1,3,3,2,1,3,4
30,33,1,2,1,3,1,2,1,3,4
43,25,1,2,1,3,1,2,1,3,4
50,25,1,2,1,3,3,2,1,3,4
57,20,1,2,1,3,1,2,1,3,4
66,25,1,3,1,3,3,2,3,4,1
21,37,1,2,0,3,1,2,3,4,1
44,35,1,2,0,3,1,2,1,3,4
49,24,1,2,0,3,1,2,3,4,1
75,24,1,2,1,3,1,2,1,3,4
96,25,1,1,1,3,3,2,3,4,1
99,21,1,3,1,3,3,2,3,4,1
